index,Name,Address,Reviews,Rating,Kecamatan,Latitude,Longitude,kategori,No Sertifikat
3292,mixue ice cream tea lontar,raya lontar 309 lontar sambikerep 60216,61,4.5,sambikerep,-7.2828791,112.5890228,cafe,ID
3222,bandeng juwana,ngagel jaya utara 103 1 baratajaya gubeng 60284,153,4.6,gubeng,-7.2889725,112.7406246,restoran,ID
3296,mixue ice cream tea petemon,petemon bar 127 rt 001 rw 02 kupang krajan sawahan 60253,130,4.6,sawahan,-7.2678437,112.7166047,cafe,ID
3306,mixue ice cream tea bratang,bratang gede 138 ngagelrejo wonokromo 60245,47,4.4,wonokromo,-7.2986826,112.7529062,cafe,ID
3252,spikoe resep kuno,rungkut madya 41 rungkut kidul rungkut 60293,4743,4.6,rungkut,-7.3311052,112.771707,bakery,ID
3323,mixue ice cream tea karimun jawa,karimun jawa 5b gubeng gubeng 60281,188,4.7,gubeng,-7.2732621,112.7428565,cafe,ID
3313,mixue ice cream tea pandegiling,pandegiling 117 a dr soetomo tegalsari 60264,105,4.1,tegalsari,-7.2761546,112.7326971,cafe,ID
3320,mixue ice cream tea karang menjangan,karang menjangan 117c mojo gubeng 60286,177,4.9,gubeng,-7.2726784,112.7591145,cafe,ID
3297,mixue ice cream tea dukuh kupang,dukuh kupang xxv 49 dukuh kupang dukuhpakis 60225,109,4.4,dukuhpakis,-7.2837074,112.7102436,cafe,ID
3309,mixue ice cream tea sukomanunggal,sukomanunggal b 254 tanjungsari sukomanunggal 60187,54,4.5,sukomanunggal,-7.2607783,112.6901613,cafe,ID
3099,bakso boedjangan manyar surabaya,raya manyar 85 menur pumpungan sukolilo 60118,4124,4.2,sukolilo,-7.2961311,112.7459778,restoran,ID
3316,mixue ice cream tea semolowaru,nginden semolo 20 nginden jangkungan sukolilo 60118,300,4.4,sukolilo,-7.2997465,112.7615129,cafe,ID
3074,kopi kenangan royal plaza surabaya,royal plaza lg ahmad yani 16 18 wonokromo wonokromo 60231,25,4.3,wonokromo,-7.3094161,112.7318738,cafe,ID
3263,bellin bakery,sidosermo airdas a 12 sidosermo wonocolo 60239,41,4.8,wonocolo,-7.3153064,112.7484139,bakery,ID
3069,kopi kenangan ciputra world surabaya,ciputra world lg mayjen sungkono 89 gn sari dukuhpakis 60224,28,4.2,dukuhpakis,-7.2929206,112.7165546,cafe,ID
3178,bakmi gm galaxy mall 3,galaxy mall 3 dr ir h soekarno 3 mulyorejo mulyorejo 60115,424,4.5,mulyorejo,-7.2764302,112.7777292,restoran,ID
3307,mixue ice cream tea sukolilo,semampir utara 62 rt 001 rw 01 medokan semampir sukolilo 60119,72,4.6,sukolilo,-7.3049622,112.7787848,cafe,ID
2922,gokana ramen teppan transmart rungkut,transmart rungkut raya kalirungkut 25 kali rungkut rungkut 60293,466,4.2,rungkut,-7.3208857,112.7677841,restoran,ID
3305,mixue ice cream tea manukan,manukan tama 1 manukan kulon tandes 60185,229,4.3,tandes,-7.2606902,112.6648202,cafe,ID
3302,mixue ice cream tea raya dukuh kupang,raya dukuh kupang 47a putat jaya sawahan 60225,31,3.3,sawahan,-7.282043,112.7140018,cafe,ID
3240,ichirank,rungkut asri barat 13 24 rungkut kidul rungkut 60293,0,0,rungkut,-7.3302456,112.7714089,restoran,ID
3222,bandeng juwana,ngagel jaya utara 103 1 baratajaya gubeng 60284,153,4.6,gubeng,-7.3300625,112.6915808,restoran,ID
3308,mixue ice cream tea tambaksari,pacar keling 7 pacar keling tambaksari 60131,77,4.7,tambaksari,-7.2580502,112.7365095,cafe,ID
3194,ayam nelongso dharmawangsa,dharmawangsa 94 airlangga gubeng 60286,2818,4.3,gubeng,-7.2737767,112.751497,restoran,ID
2992,richeese factory manyar,manyar kertoarjo 59 mojo gubeng 60285,3209,4.5,gubeng,-7.2798804,112.7666053,restoran,ID
3319,mixue ice cream tea ngagel,ngagel jaya 57 pucang sewu gubeng 60283,467,4.5,gubeng,-7.2913233,112.7199676,cafe,ID
3303,mixue ice cream tea ngagel rejo,ngagel rejo kidul 43 ngagelrejo wonokromo 60245,56,3.9,wonokromo,-7.2913233,112.7199676,cafe,ID
3312,mixue ice cream tea dharmahusada,dharmahusada 121 c mojo gubeng 60285,180,4.8,gubeng,-7.2657877,112.7632791,cafe,ID
3291,mixue ice cream tea darmo indah,darmo indah timur eu 7 tandes 60187,32,4.4,tandes,-7.2642464,112.6844164,cafe,ID
3317,mixue ice cream tea royal plaza,ahmad yani 16 18 wonokromo wonokromo 60243,79,4.2,wonokromo,-7.3094585,112.7318257,cafe,ID
2905,a w plaza surabaya,plaza lantai 2 pemuda 33 37 embong kaliasin genteng 60271,205,4.3,genteng,-7.2648458,112.7437892,restoran,ID
