Name-a,Name-b,jac
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung kopi barokah,warung barokah,0.6666666666666666
warung barokah,warung barokah,1.0
warung kopi barokah,warung barokah,0.6666666666666666
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung kopi barokah,warung barokah,0.6666666666666666
warung kopi barokah,warung barokah,0.6666666666666666
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung kopi barokah,warung barokah,0.6666666666666666
warung barokah,warung barokah,1.0
warung kopi barokah,warung barokah,0.6666666666666666
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung kopi barokah,warung barokah,0.6666666666666666
warung kopi barokah,warung barokah,0.6666666666666666
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung barokah,warung barokah,1.0
warung kopi barokah,warung barokah,0.6666666666666666
warung kopi barokah,warung barokah,0.6666666666666666
warung barokah 1,warung barokah,0.6666666666666666
warung barokah,warung barokah 1,0.6666666666666666
warung barokah,warung barokah 1,0.6666666666666666
warung barokah,warung barokah 1,0.6666666666666666
warung barokah,warung barokah 1,0.6666666666666666
warung barokah,warung barokah 1,0.6666666666666666
warung barokah,warung barokah 1,0.6666666666666666
warung,warung,1.0
warung,warung,1.0
warung,warung,1.0
warung kopi ts20,warung kopi,0.6666666666666666
coffee warung kopi,warung kopi,0.6666666666666666
warung kopi barokah,warung kopi,0.6666666666666666
warung kopi al,warung kopi,0.6666666666666666
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi suka kopi,warung kopi,0.6666666666666666
warung kopi asli,warung kopi,0.6666666666666666
warung kopi kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi surabaya,warung kopi,0.6666666666666666
warung kopi,warung kopi,1.0
warung kopi 45,warung kopi,0.6666666666666666
warung kopi d d,warung kopi,0.6666666666666666
warung kopi gresik,warung kopi,0.6666666666666666
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi,warung kopi,1.0
warung kopi surabaya,warung kopi,0.6666666666666666
warung kopi 31,warung kopi,0.6666666666666666
warung kopi barokah,warung kopi,0.6666666666666666
warung kopi ijo,warung kopi,0.6666666666666666
warung kopi suka kopi,warung kopi,0.6666666666666666
warung kopi asli,warung kopi,0.6666666666666666
warung kopi 71,warung kopi,0.6666666666666666
warung kopi joko,warung kopi,0.6666666666666666
warung kopi sadam,warung kopi,0.6666666666666666
warung kopi ofiq,warung kopi,0.6666666666666666
warung kopi al,warung kopi,0.6666666666666666
warung kopi 66,warung kopi,0.6666666666666666
warung kopi kenyong,warung kopi,0.6666666666666666
warung kopi 2017,warung kopi,0.6666666666666666
warung kopi santuy,warung kopi,0.6666666666666666
warung kopi wares,warung kopi,0.6666666666666666
warung kopi pojok,warung kopi,0.6666666666666666
